objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language ,rights,,
news_011,Newsletter11.pdf,Newsletter 11:Keith's Corner-McGill News,Keith Gibson,2019-08-02,A tragic head-on car collision in 1933 kills four people. A brief rainstorm in 2019 causes flooding to local businesses.,Accidents;Floods,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_012,Newsletter12.pdf,Newsletter 12:Keith's Corner-McGill News,Keith Gibson,2019-08-09,The talented Bristlecone Quilters show off their quilts at the high school gym. Main Street receives new paving. An image from Main Street circa 1908 is included.,Quilts;Paving,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_013,Newsletter13.pdf,Newsletter 13:Keith's Corner-McGill News,Keith Gibson,2019-08-16,"This issues talks of the declining sports opportunities for the youngsters. In its early years, McGill's youth had many activities to keep them busing including baseball, football, hiking and more. The upcoming McGill Birthday and Picnic is also discussed.",Baseball;Sports;Football;Scouts;Firemen;Picnics,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_014,Newsletter14.pdf,Newsletter 14:Keith's Corner-McGill News,Keith Gibson,2019-08-23,"Titled ""McGill, Over the Years"" this issue showcases some of the changes McGill kids experienced in the late 1940 through the 1950's. Sports were encouraged and kids eagerly participated. Current-day McGill gets a new slurry coat to main street.",Sports;Pools;Asphalt,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_015,Newsletter15.pdf,Newsletter 15:Keith's Corner-McGill News,Keith Gibson,2019-08-30,"White Pine County celebrates a music festival in 1950. Titled the ""Music Clinic Festival"", each school would put on a show in hopes of impressing out-of-state music critics. Current-day McGill experiences hot weather, the annual parade and street dance as well as photos of the 1922 mill fire.",Music;Events;Schools;Libraries,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_016,Newsletter16.pdf,Newsletter 16:Keith's Corner-McGill News,Keith Gibson,2019-09-06,"Community Pride!  Lack of modern conveniences such as TV and cell phones caused McGill residents to seek entertainment in much more sociable ways. Parades, sports and music competitions were mainstream and instilled a sense of pride in the community. The 2019 McGill birthday takes place with a subdued parade followed by the BBQ and Pool Splash event.",Bands;Schools;Sports;Parades;Baseball;Events,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_017,Newsletter17.pdf,Newsletter 17:Keith's Corner-McGill News,Keith Gibson,2019-09-13,Keith discusses the Friday the 13th superstition and McGillites experience increased traffic.  An image is shown of the old McGill housing structure constructed by Kennecott for single women teachers.,Businesses;Kennecott,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_018,Newsletter18.pdf,Newsletter 18:Keith's Corner-McGill News,Keith Gibson,2019-09-20,"Like all small counties, White Pine has it's cast of characters that are remembered even today. This edition reveals some of the more colorful ones! Present-day McGill experiences cooler weather. The Drugstore attracts some interesting visitors - some international. Vintage photos of the smelter, power house and its smokestacks.",Drugstores;Smelters,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_019,Newsletter19.pdf,Newsletter 19:Keith's Corner-McGill News,Keith Gibson,2019-09-27,Labor Day memories and images of Union leaders and members.,Labor Day;Parades;Unions;Bands;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_020,Newsletter20.pdf,Newsletter 20:Keith's Corner-McGill News,Keith Gibson,2019-10-04,"Odd things in old trunks! Keith shares memories and an image of his grandmother, Martha Gibson, and his aunt (Pearl Lee) who played for the McGill women's baseball team in (approximately) the early 1900's. Keith donates a postcard of an amusement park (in Butte, Montana) which was destroyed in a suspicious fire. In present -day McGill, Mike Nass, opens the first U-Haul drop-off business.",Museums;Businesses;Amusement Parks;Locksmiths;Dams;Postcards,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_021,Newsletter21.pdf,Newsletter 21:Keith's Corner-McGill News,Keith Gibson,2019-10-11,Odd things in trunks - Part 2! Keith finds another interesting image to donate to a Kansas museum. Present-day McGill prepares for the upcoming Halloween party.,Museums;Rabbit Hunts;Postcards;IOOF Hall;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_022,Newsletter22.pdf,Newsletter 22:Keith's Corner-McGill News,Keith Gibson,2019-10-18,"Keith talks about the first phone system in McGill. Since use of the new system was limited, boys learned to construct their own means of communication via string and paper oatmeal boxes.",Phones,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_023,Newsletter23.pdf,Newsletter 23:Keith's Corner-McGill News,Keith Gibson,2019-10-25,"Keith finds a photo of an Army tank with a hand-written note from his father, Bud Gibson. The tank was brought to McGill in 1919 as a show of US Army strength as well as to promote war bonds. Many McGill residents are in the photo. Mention of the 2019 McGill Halloween party.",Tanks;Military;Halloween;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_024,Newsletter24.pdf,Newsletter 24:Keith's Corner-McGill News,Keith Gibson,2019-11-01,A vintage image of a molten slag car. Slag being the byproduct created during metal smelting. Keith recalls stories his father told him about his days working at the smelter. Mike Nass opens his locksmith shop and the event is attended by the McGill town council.,Smelters;Locksmiths;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_025,Newsletter25.pdf,Newsletter 25:Keith's Corner-McGill News,Keith Gibson,2019-11-08,A former employee of the McGill Drugstore makes a nostalgic return! Beverly Crawforth worked at the Drugstore in the mid 40's and was Keith's neighbor as well. Beverly is in her 90's and was accompanied by her son and daughters. The town celebrated Beverly's birthday with an impromptu party complete with cake!,Drugstores;IOOF Hall;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_026,Newsletter26.pdf,Newsletter 26:Keith's Corner-McGill News,Keith Gibson,2019-11-15,Images of several McGill gas stations through the decades. The present-day McGill Antique store is featured with lots of fantastic items for sale! Vintage images of the mill fire (circa 1922) are included.,Gas Stations;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_027,Newsletter27.pdf,Newsletter 27:Keith's Corner-McGill News,Keith Gibson,2019-11-22,"A 1909 image of the building that houses present-day McGill Antique's is included. Several of the images are missing dates, but estimates dates range from the 20's to the early 60's. Keith visits the library and has an odd experience.",Nye Bros;Businesses;Banks,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_028,Newsletter28.pdf,Newsletter 28:Keith's Corner-McGill News,Keith Gibson,2019-11-29,The holiday season of 1941 began with a memorable Thanksgiving. Two weeks later The attack on Pearl Harbor occurred. Present-day McGill experiences light snowfall and the town begins to install Christmas decorations.,Thanksgiving;Kennecott;Military,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_029,Newsletter29.pdf,Newsletter 29:Keith's Corner-McGill News,Keith Gibson,2019-12-06,"The KCC Commissary and Boarding House (built in 1924-1925) is pictured. Kennicott issued coupon books to workers which were paid through their next payroll check. Workers could purchase clothing, food and other items. The building was replaced by a gas station in 1960. The Drugstore got a VIP in November of 2019. John Glenn (yes, the Astronaut) visited the store and made favorable comments.",Commissary;Kennecott;Theaters;IOOF Hall;Astronauts,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_030,Newsletter30.pdf,Newsletter 30:Keith's Corner-McGill News,Keith Gibson,2019-12-13,Images of the roaster stack being destroyed in 1929. The roaster (and stack) was rendered obsolete as the mill was able to supply a larger amount of copper concentrate to the smelter. Present-day McGill readies for the Christmas parade and the roof on the theater is finally finished!,Smelters;Stacks;Schools,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_031,Newsletter31.pdf,Newsletter 31:Keith's Corner-McGill News,Keith Gibson,2019-12-20,The annual Christmas parade takes place and is a huge success! Residents enjoy the holiday-themed light posts decorated in honor of Rose Papez. Keith shares a memory of a Christmas past.,Christmas;Theaters;Parades;Floats;Sports;Football,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_032,Newsletter32.pdf,Newsletter 32:Keith's Corner-McGill News,Keith Gibson,2019-12-27,Keith recalls past New Year's celebrations and parties. The annual Fireman's Ball was one of the biggest events in the town. Keith thanks those McGill residents who make Christmas a success by putting in long hours to ensure packages and goods are delivered on time.,Kennecott;New Year;Clubs,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,,,
news_033,Newsletter33.pdf,Newsletter 33:Keith's Corner-McGill News,image_003,first_phone.jpg,First McGill Phone System,,1927-07-29,The first phone and switching unit in McGill was housed under the assy office.,Phones,"McGill, Nevada",39.4004566,-114.7986135,"History of McGill, Nevada website. mcgillnevada.com",,Image;StillImage,image/jpeg,eng
image_001,post_office_1891.jpg,McGill Post Office,,1891,"The McGill Post Office, circa 1891. Located on property owned by William McGill, the first postmistress was his daughter, Kate McGill. ",Post Offices;Businesses;Kennecott;Gas Stations,"McGill, Nevada",39.4004566,-114.7986135,"History of McGill, Nevada website. mcgillnevada.com",,Image;StillImage,image/jpeg,eng,,,
image_002,early_housing.jpg,Early Worker Housing,,1910,Tents were constructed as early housing for mine employees. They were later replaced by simple wooden structures.,Kennecott;Houses,"McGill, Nevada",39.4004566,-114.7986135,"History of McGill, Nevada website. mcgillnevada.com",,Image;StillImage,image/jpeg,eng,,,
image_003,first_phone.jpg,First McGill Phone System,,1927-07-29,The first phone and switching unit in McGill was housed under the assy office.,Phones,"McGill, Nevada",39.4004566,-114.7986135,"History of McGill, Nevada website. mcgillnevada.com",,Image;StillImage,image/jpeg,eng,,,
image_004,1929_stack_demo.jpg,Stack Demolition,Keith Gibson,1929,The company had a young McGill resident pull the trigger to demolish one of the obsolete stacks.,Stacks;demolition,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,,,
